,Electrolyte
45,"0.6 m 1,2-dimethyl-3-propylimidazolium iodide (DMPII), 0.5 m 4-tert-butylpyridine (TBP), 0.05 m I2 and 0.1 m LiI in CH3CN"
46,"0.6 m 1,2-dimethyl-3-propylimidazolium iodide (DMPII), 0.5 m 4-tert-butylpyridine (TBP), 0.05 m I2 and 0.1 m LiI in CH3CN"
47,"0.6 M DMPII, 0.5 M TBP, 0.05 M I2 and 0.1M LiI in CH3CN"
48,"0.6 M DMPII, 0.5 M TBP, 0.05 M I2 and 0.1M LiI in CH3CN"
49,"0.3 M 1-methyl-3-propylimidazolium iodide (MPII), 0.03 M I2 , 0.07 M LiI, 0.1 M guanidinium thiocyanate and 0.4 M 4-tert-butylpyridine (TBP)"
50,"0.3 M 1-methyl-3-propylimidazolium iodide (MPII), 0.03 M I2 , 0.07 M LiI, 0.1 M guanidinium thiocyanate and 0.4 M 4-tert-butylpyridine (TBP)"
51,"0.3 M 1-methyl-3-propylimidazolium iodide (MPII), 0.03 M I2 , 0.07 M LiI, 0.1 M guanidinium thiocyanate and 0.4 M 4-tert-butylpyridine (TBP)"
52,"0.5 M 1-butyl-3-methylimidazolium iodide, 0.10 M LiI, 0.05 M I2, and 0.5 M tert-butylpyridine in acetonitrile"
53,"0.5 M 1-butyl-3-methylimidazolium iodide, 0.10 M LiI, 0.05 M I2, and 0.5 M tert-butylpyridine in acetonitrile"
54,"0.5 M 1-butyl-3-methylimidazolium iodide, 0.10 M LiI, 0.05 M I2, and 0.5 M tert-butylpyridine in acetonitrile"
55,"0.5 M 1-butyl-3-methylimidazolium iodide, 0.10 M LiI, 0.05 M I2, and 0.5 M tert-butylpyridine in acetonitrile"
56,"0.5 M 1-butyl-3-methylimidazolium iodide, 0.10 M LiI, 0.05 M I2, and 0.5 M tert-butylpyridine in acetonitrile"
57,"0.6 m 1,2-dimethyl-3-propylimidazolium iodide (DMPII), 0.5 m 4-tert-butylpyridine (TBP), 0.05 m I2 and 0.1 m LiI in CH3CN"
58,"0.6 M 1-methyl-3-propylimidazolium iodide (PMII), 0.10 M guanidinium thiocyanate, 0.03 M I2 , 0.5 M tert-butylpyridine in acetonitrile and valeronitrile (85:15)"
59,"0.6 M 1,2-dimethyl-3-propyl imidazolium iodide, 0.05 M iodine, 0.1 M LiI, and 0.5 M tert-butylpyridine in acetonitrile"
60,"0.6 M 1,2-dimethyl-3-propyl imidazolium iodide, 0.05 M iodine, 0.1 M LiI, and 0.5 M tert-butylpyridine in acetonitrile"
61,"0.6 M 1,2-dimethyl-3-propyl imidazolium iodide, 0.05 M iodine, 0.1 M LiI, and 0.5 M tert-butylpyridine in acetonitrile"
62,"0.6 M 1,2-dimethyl-3-propyl imidazolium iodide, 0.05 M iodine, 0.1 M LiI, and 0.5 M tert-butylpyridine in acetonitrile"
63,"0.6 M 1,2-dimetyl-3-propyl imidazolium iodide, 0.05 M iodine, 0.1 M LiI, and 0.5 M tert-butylpyridine in acetonitrile"
64,"0.6 M 1,2-dimetyl-3-propyl imidazolium iodide, 0.05 M iodine, 0.1 M LiI, and 0.5 M tert-butylpyridine in acetonitrile"
65,"0.6 M 1,2-dimetyl-3-propyl imidazolium iodide, 0.05 M iodine, 0.1 M LiI, and 0.5 M tert-butylpyridine in acetonitrile"
66,"0.6 M 1,2-dimetyl-3-propyl imidazolium iodide, 0.05 M iodine, 0.1 M LiI, and 0.5 M tert-butylpyridine in acetonitrile"
67,"0.6 M 1,2-dimethyl-3-n-propylimidazolium iodide (DMPImI), 0.1 M I2 , and 0.1 M N-methylbenzimidazole (NMBI) in 3-methoxypropionitrile (MPN)"
68,"0.6 M DMPImI, 0.1 M LiI, 0.05 M I2 , and 0.1 M TBP"
69,"0.1 M LiI, 0.05 M I2 , and 0.6 M DMPImI"
70,"0.1 M LiI, 0.05 M I2 , 0.6 M DMPImI and 0.1 M TBP"
71,"0.1 M LiI, 0.05 M I2 , 0.6 M DMPImI and 0.5 M TBP"
72,"0.1 M LiI, 0.05 M I2 , and 0.6 M DMPImI"
73,"0.1 M LiI, 0.05 M I2 , 0.6 M DMPImI and 0.1 M TBP"
74,"0.1 M LiI, 0.05 M I2 , and 0.6 M DMPImI"
75,"0.1 M LiI, 0.05 M I2 , 0.6 M DMPImI and 0.1 M TBP"
76,"0.6 M DMPImI, 0.2 M LiI, 0.05 M I2 , and 0.1 M TBP"
77,"0.1 M LiI, 0.05 M I2 , 0.6 M DMPImI, and TBP in dry AN"
78,"0.1 M LiI, 0.05 M I2 , 0.6 M DMPImI, and TBP in dry AN"
79,"0.1 M LiI, 0.05 M I2 , 0.6 M DMPImI, and TBP in dry AN"
80,"0.1 M LiI, 0.05 M I2 , 0.6 M DMPImI, and TBP in dry AN"
81,"0.1 M LiI, 0.05 M I2 , 0.6 M DMPImI, and TBP in dry AN"
82,"0.1 M LiI, 0.05 M I2 , 0.6 M DMPImI, and guanidinium thiocynate in dry AN"
83,"0.1 M LiI, 0.05 M I2 , 0.6 M DMPImI, and guanidinium thiocynate in dry AN"
84,"0.1 M LiI, 0.05 M I2 , 0.6 M DMPImI, and guanidinium thiocynate in dry AN"
85,"0.1 M LiI, 0.05 M I2 , 0.6 M DMPImI, and guanidinium thiocynate in dry AN"
86,"0.1 M LiI, 0.05 M I2 , 0.6 M DMPImI, and guanidinium thiocynate in dry AN"
87,"0.6 M DMPImI, 0.1 M LiI, 0.05 M I2 , and 0.5 M TBP"
88,"0.6 M DMPImI, 0.1 M LiI, 0.05 M I2 , and 0.5 M TBP"
89,"0.6 M DMPImI, 0.1 M LiI, 0.05 M I2 , and 0.5 M TBP"
90,"0.7 M 1-propryl-3-methyl-imidazolium iodide (PMII), 0.2 M of LiI, 0.05 M of I2 , and 0.5 M of TBP in acetonitrileÀvaleronitrile (v/v, 85/18)"
91,"0.1 M LiI, 0.05 M I2 , 0.6 M DMPImI, and TBP in dry AN"
92,"0.6 M DMPImI, 0.1 M LiI, 0.05 M I2 , and 0.5 M TBP"
93,"0.6 M DMPImI, 0.1 M LiI, 0.05 M I2 , and 0.5 M TBP"
94,"0.6 M 1,2-dimethyl-3-n-propylimidazolium iodide (DMPImI), 0.1 M LiI, and 0.05 M I2 in methoxyacetonitrile (MAN)"
95,"0.6 M 1,2-dimethyl-3-n-propylimidazolium iodide (DMPImI), 0.1 M LiI, and 0.05 M I2 in methoxyacetonitrile (MAN)"
96,"0.6 M 1,2-dimethyl-3-n-propylimidazolium iodide (DMPImI), 0.1 M LiI, and 0.05 M I2 in methoxyacetonitrile (MAN)"
97,"0.6 M 1,2-dimethyl-3-n-propylimidazolium iodide (DMPImI), 0.1 M LiI, and 0.05 M I2 in methoxyacetonitrile (MAN)"
98,"0.6 M 1,2-dimethyl-3-n-propylimidazolium iodide (DMPImI), 0.1 M LiI, and 0.05 M I2 in methoxyacetonitrile (MAN)"
99,0.6 M DMPImI–0.1 M LiI–0.05 M I2 in propionitrile-acetonitrile (6:4)
100,"0.6 M DMPImI–0.1 M LiI–0.05 M I2, 1.0 M TBP in acetonitrile"
101,"0.6 M DMPImI–0.1 M LiI–0.05 M I2, 1.0 M TBP in acetonitrile"
102,"0.1 M LiI, 0.05 M I2, 0.5 M PMII, 0.6 M tert-butyl pyridine in 3-methoxypropionitile"
103,"0.1 M LiI, 0.05 M I2, 0.5 M PMII, 0.6 M tert-butyl pyridine in 3-methoxypropionitile"
104,"0.1 M LiI, 0.05 M I2, 0.5 M PMII, 0.6 M tert-butyl pyridine in 3-methoxypropionitile"
105,"0.1 M LiI, 0.05 M I2, 0.5 M PMII, 0.6 M tert-butyl pyridine in 3-methoxypropionitile"
106,"0.1 M LiI, 0.05 M I2, 0.5 M PMII, 0.6 M tert-butyl pyridine in 3-methoxypropionitile"
107,"0.1 M LiI, 0.05 M I2, 0.5 M PMII, 0.6 M tert-butyl pyridine in 3-methoxypropionitile"
108,"0.6 M 1-butyl-3-methylimidiazolium iodide (BMII), 0.1 M LiI, 0.05 M I2 , and 0.6 M tert-butylpyridine (TBP) in acetonitrile"
109,"0.6 M 1-butyl-3-methylimidiazolium iodide (BMII), 0.1 M LiI, 0.05 M I2 , and 0.6 M tert-butylpyridine (TBP) in acetonitrile"
110,"0.6 M 1-butyl-3-methylimidiazolium iodide (BMII), 0.1 M LiI, 0.05 M I2 , and 0.6 M tert-butylpyridine (TBP) in acetonitrile"
111,"0.6 M 1-butyl-3-methylimidiazolium iodide (BMII), 0.1 M LiI, 0.05 M I2 , and 0.6 M tert-butylpyridine (TBP) in acetonitrile"
112,"0.6 M 1-butyl-3-methylimidiazolium iodide (BMII), 0.1 M LiI, 0.05 M I2 , and 0.6 M tert-butylpyridine (TBP) in acetonitrile"
113,"0.6 M 1-butyl-3-methylimidiazolium iodide (BMII), 0.1 M LiI, 0.05 M I2 , and 0.6 M tert-butylpyridine (TBP) in acetonitrile"
114,"0.3 M 1-methyl-3-propylimidazolium iodide (MPII), 0.03 M I2 , 0.07 M LiI, 0.1 M guandine thiocyanate and 0.4 M 4-tert-butylpyridine"
115,"0.3 M 1-methyl-3-propylimidazolium iodide (MPII), 0.03 M I2 , 0.07 M LiI, 0.1 M guandine thiocyanate and 0.4 M 4-tert-butylpyridine"
116,"0.6M 1,2-dimethyl 3-propyl imidazolium iodide, 0.1 M LiI, 0.05 M I2, and 0.5 M 4-tert-butylpyridine dissolved in acetonitrile"
117,"0.6M 1,2-dimethyl 3-propyl imidazolium iodide, 0.1 M LiI, 0.05 M I2, and 0.5 M 4-tert-butylpyridine dissolved in acetonitrile"
118,"0.6 M 1,2-dimethyl-3-n-propylimidazolium iodide/0.1 M LiI/0.05 I2/0.6 M 4-tert-butylpyridine in acetonitrile"
119,"0.6 M 1,2-dimethyl-3-n-propylimidazolium iodide/0.1 M LiI/0.05 I2/0.6 M 4-tert-butylpyridine in acetonitrile"
120,HPE electrolyte (triiodide/iodide)
121,"0.3 M 1-methyl-3-propylimidazolium iodide (MPII), 0.03 M I2 , 0.07 M LiI, 0.1 M guandine thiocyanate and 0.4 M 4-tert-butylpyridine"
122,"0.6 M 1,2-dimethyl-3-n-propylimidazolium iodide/0.1 M LiI/0.05 I2/0.6 M 4-tert-butylpyridine in acetonitrile"
123,"0.6 M 1,2-dimethyl-3-n-propylimidazolium iodide/0.1 M LiI/0.05 I2/0.6 M 4-tert-butylpyridine in acetonitrile"
124,"0.6 M 1,2-dimethyl-3-n-propylimidazolium iodide, 0.1 M LiI, 0.05 M I2, and 0.5 M 4-tert-butylpyridine in dry acetonitrile"
125,"0.6 M 1-butyl-3-methylimidiazolium iodide, 0.10 M LiI, 0.05 M I2, and 0.5 M tert-butylpyridine in acetonitrile"
126,"0.6 M 1-butyl-3-methylimidiazolium iodide, 0.10 M LiI, 0.05 M I2, and 0.5 M tert-butylpyridine in acetonitrile"
127,"0.6 M 1-butyl-3-methylimidiazolium iodide, 0.10 M LiI, 0.05 M I2, and 0.5 M tert-butylpyridine in acetonitrile"
128,"0.6 M 1-butyl-3-methylimidiazolium iodide, 0.10 M LiI, 0.05 M I2, and 0.5 M tert-butylpyridine in acetonitrile"
129,"0.6 M 1-butyl-3-methylimidiazolium iodide, 0.10 M LiI, 0.05 M I2, and 0.5 M tert-butylpyridine in acetonitrile"
130,"0.6 M 1-butyl-3-methylimidiazolium iodide, 0.10 M LiI, 0.05 M I2, and 0.5 M tert-butylpyridine in acetonitrile"
131,lithium iodide (0.5 M) and iodine (0.05 M) in propylene carbonate
132,"0.5 M LiI, 0.05 M I2, 0.05 M TBP, 0.05 M GSCN in 3-methoxy propionitrile"
133,"0.5 M LiI, 0.05 M I2, 0.05 M TBP, 0.05 M GSCN in 3-methoxy propionitrile"
134,"0.5 M LiI, 0.05 M I2, 0.05 M TBP, 0.05 M GSCN in 3-methoxy propionitrile"
135,"0.5 M LiI, 0.05 M I2, 0.05 M TBP, 0.05 M GSCN in 3-methoxy propionitrile"
136,"0.05 M I2, 0.50 M LiI and 0.10 M 1,2-dimethyl-3-n-propylimidazolium iodide (DMPImI) in acetonitrile (AN)/valeronitrile (VN) (9:1 in volume)"
137,"0.05 M I2, 0.50 M LiI and 0.10 M 1,2-dimethyl-3-n-propylimidazolium iodide (DMPImI) in acetonitrile (AN)/valeronitrile (VN) (9:1 in volume)"
138,"0.05 M Br2, 0.50 M LiBr and 0.10 M 1-n-butyl-3-methylimidazolium bromide (BMImBr) in acetonitrile (AN)/valeronitrile (VN) (9:1 in volume)"
139,"0.03 M Br2, 0.65 M BMImBr, 0.20 M TPABr, 0.07 M TBP, 0.07 M GuNCS in AN/VN/EC/THF(4:3:2:1 in volume)"
140,"0.03 M Br2, 0.65 M BMImBr, 0.20 M TPABr, 0.07 M TBP, 0.07 M GuNCS in AN/VN/EC/THF(4:3:2:1 in volume)"
141,0.1 M I2 and 1 M LiI in MeCN
142,"0.3 M 1,2-dimethyl-3-propylimidazolium iodide (DMPII), 0.03 M I2, 0.07 M LiI, 0.1 M guanidine thiocyanate, and 0.4 M 4-tert-butylpyridine (TBP) in acetonitrile"
143,"0.3 M 1,2-dimethyl-3-propylimidazolium iodide (DMPII), 0.03 M I2, 0.07 M LiI, 0.1 M guanidine thiocyanate, and 0.4 M 4-tert-butylpyridine (TBP) in acetonitrile"
144,"0.3 M 1,2-dimethyl-3-propylimidazolium iodide (DMPII), 0.03 M I2, 0.07 M LiI, 0.1 M guanidine thiocyanate, and 0.4 M 4-tert-butylpyridine (TBP) in acetonitrile"
145,"0.3 M 1,2-dimethyl-3-propylimidazolium iodide (DMPII), 0.03 M I2, 0.07 M LiI, 0.1 M guanidine thiocyanate, and 0.4 M 4-tert-butylpyridine (TBP) in acetonitrile"
146,"0.3 M 1,2-dimethyl-3-propylimidazolium iodide (DMPII), 0.03 M I2, 0.07 M LiI, 0.1 M guanidine thiocyanate, and 0.4 M 4-tert-butylpyridine (TBP) in acetonitrile"
147,"0.3 M 1,2-dimethyl-3-propylimidazolium iodide (DMPII), 0.03 M I2, 0.07 M LiI, 0.1 M guanidine thiocyanate, and 0.4 M 4-tert-butylpyridine (TBP) in acetonitrile"
148,0.5 M LiI (99.9%) and 0.05 M I2 (99.9%) in 3-methoxypropionitrile
149,OPV-AN-I
150,0.5 M LiI (99.9%) and 0.05 M I2 (99.9%) in 3-methoxypropionitrile
151,"0.1 M lithium iodide, 0.6 M dimethylpropyl-imidazolium iodide (DMPII), 0.03 M I2, 0.5 M 4-tert-butylpyridine (4-TBP) in a mixed solvent of acetonitrile and 3-methoxypropionitrile (1:1, v/v)"
152,"0.1 M lithium iodide, 0.6 M dimethylpropyl-imidazolium iodide (DMPII), 0.03 M I2, 0.5 M 4-tert-butylpyridine (4-TBP) in a mixed solvent of acetonitrile and 3-methoxypropionitrile (1:1, v/v)"
153,"0.1 M lithium iodide, 0.6 M dimethylpropyl-imidazolium iodide (DMPII), 0.03 M I2, 0.5 M 4-tert-butylpyridine (4-TBP) in a mixed solvent of acetonitrile and 3-methoxypropionitrile (1:1, v/v)"
154,"0.1 M lithium iodide, 0.6 M dimethylpropyl-imidazolium iodide (DMPII), 0.03 M I2, 0.5 M 4-tert-butylpyridine (4-TBP) in a mixed solvent of acetonitrile and 3-methoxypropionitrile (1:1, v/v)"
155,"0.1 M lithium iodide, 0.6 M dimethylpropyl-imidazolium iodide (DMPII), 0.03 M I2, 0.5 M 4-tert-butylpyridine (4-TBP) in a mixed solvent of acetonitrile and 3-methoxypropionitrile (1:1, v/v)"
156,"0.1 M lithium iodide, 0.6 M dimethylpropyl-imidazolium iodide (DMPII), 0.03 M I2, 0.5 M 4-tert-butylpyridine (4-TBP) in a mixed solvent of acetonitrile and 3-methoxypropionitrile (1:1, v/v)"
157,"0.1 M lithium iodide, 0.6 M dimethylpropyl-imidazolium iodide (DMPII), 0.03 M I2, 0.5 M 4-tert-butylpyridine (4-TBP) in a mixed solvent of acetonitrile and 3-methoxypropionitrile (1:1, v/v)"
158,"0.1 M lithium iodide, 0.6 M dimethylpropyl-imidazolium iodide (DMPII), 0.03 M I2, 0.5 M 4-tert-butylpyridine (4-TBP) in a mixed solvent of acetonitrile and 3-methoxypropionitrile (1:1, v/v)"
159,"0.1 M lithium iodide, 0.6 M dimethylpropyl-imidazolium iodide (DMPII), 0.03 M I2, 0.5 M 4-tert-butylpyridine (4-TBP) in a mixed solvent of acetonitrile and 3-methoxypropionitrile (1:1, v/v)"
160,"0.1 M lithium iodide, 0.6 M dimethylpropyl-imidazolium iodide (DMPII), 0.03 M I2, 0.5 M 4-tert-butylpyridine (4-TBP) in a mixed solvent of acetonitrile and 3-methoxypropionitrile (1:1, v/v)"
161,"0.1 M lithium iodide, 0.6 M dimethylpropyl-imidazolium iodide (DMPII), 0.03 M I2, 0.5 M 4-tert-butylpyridine (4-TBP) in a mixed solvent of acetonitrile and 3-methoxypropionitrile (1:1, v/v)"
162,"0.1 M lithium iodide, 0.6 M dimethylpropyl-imidazolium iodide (DMPII), 0.03 M I2, 0.5 M 4-tert-butylpyridine (4-TBP) in a mixed solvent of acetonitrile and 3-methoxypropionitrile (1:1, v/v)"
163,"0.6 M 3-hexyl-1,2-dimethyl imidazolium iodide, 0.04 M iodine, 0.025 M LiI, 0.05 M guanidium thiocyanate, and 0.28 M tert-butylpyridine in acetonitrile"
164,"0.6 M 3-hexyl-1,2-dimethyl imidazolium iodide, 0.04 M iodine, 0.025 M LiI, 0.05 M guanidium thiocyanate, and 0.28 M tert-butylpyridine in acetonitrile"
165,"0.6 M 3-hexyl-1,2-dimethyl imidazolium iodide, 0.04 M iodine, 0.025 M LiI, 0.05 M guanidium thiocyanate, and 0.28 M tert-butylpyridine in acetonitrile"
166,"0.6 M 3-hexyl-1,2-dimethyl imidazolium iodide, 0.04 M iodine, 0.025 M LiI, 0.05 M guanidium thiocyanate, and 0.28 M tert-butylpyridine in acetonitrile"
167,"0.6 M 1,2-dimethyl-3-n-propylimidazolium iodide (DMPImI) + 0.1 M LiI + 0.05 M I2 + 0.5 M 4-tertbutylpyridine (TBP) in acetonitrile"
168,"0.6 M 1,2-dimethyl-3-n-propylimidazolium iodide (DMPImI) + 0.1 M LiI + 0.05 M I2 + 0.5 M 4-tertbutylpyridine (TBP) in acetonitrile"
169,"0.6 M 1,2-dimethyl-3-n-propylimidazolium iodide (DMPImI) + 0.1 M LiI + 0.05 M I2 + 0.5 M 4-tertbutylpyridine (TBP) in acetonitrile"
170,"0.6 M 1,2-dimethyl-3-n-propylimidazolium iodide (DMPImI) + 0.1 M LiI + 0.05 M I2 + 0.5 M 4-tertbutylpyridine (TBP) in acetonitrile"
171,"0.6 M 1,2-dimethyl-3-n-propylimidazolium iodide (DMPImI) + 0.1 M LiI + 0.05 M I2 + 0.5 M 4-tertbutylpyridine (TBP) in acetonitrile"
172,"0.6 M 1,2-dimethyl-3-n-propylimidazolium iodide (DMPImI) + 0.1 M LiI + 0.05 M I2 + 0.5 M 4-tertbutylpyridine (TBP) in acetonitrile"
173,"0.6 M 1,2-dimethyl-3-n-propylimidazolium iodide (DMPImI) + 0.1 M LiI + 0.05 M I2 + 0.5 M 4-tertbutylpyridine (TBP) in acetonitrile"
174,"0.6 M 1,2-dimethyl-3-n-propylimidazolium iodide (DMPImI) + 0.1 M LiI + 0.05 M I2 + 0.5 M 4-tertbutylpyridine (TBP) in acetonitrile"
175,"0.6 M 1,2-dimethyl-3-n-propylimidazolium iodide (DMPImI) + 0.1 M LiI + 0.05 M I2 + 0.5 M 4-tertbutylpyridine (TBP) in acetonitrile"
176,"0.6 M 3-hexyl-1,2-dimethyl imidazolium iodide, 0.04 M iodine, 0.025 M LiI, 0.05 M guanidium thiocyanate, and 0.28 M tert-butylpyridine in acetonitrile"
177,"0.6 M 3-hexyl-1,2-dimethyl imidazolium iodide, 0.04 M iodine, 0.025 M LiI, 0.05 M guanidium thiocyanate, and 0.28 M tert-butylpyridine in acetonitrile"
178,iodide/triiodide
179,"0.6 M 1-methyl-3-propylimidazolium iodide (PMII), 0.10 M guanidinium thiocyanate, 0.03 M I2 , 0.5 M tert-butylpyridine in acetonitrile and valeronitrile (85:15)"
180,"0.3 M HMII, 0.5 M LiI, 0.05 M I2 and 0.5 M TBP in MPN"
181,"0.6 M 1,2-dimetyl-3-propyl imidazolium iodide, 0.05 M iodine, 0.1 M LiI in acetonitrile"
182,"0.6 M 1-butyl-3-methylimidazolium iodide (BMII), 0.05 M LiI, 0.03 M I2, 0.5 M 4-tert-butylpyridine, and 0.1 M guanidinium thiocyanate in a mixture of acetonitrile–valeronitrile (85:15, v/v)"
183,"0.6 M DMPII, 0.06 M LiI, 0.4 M TBP, 0.02 M I2 in dry acetonitrile"
184,OPV-AN-I
185,OPV-AN-I
186,"0.6 M DMPImI, 0.1 M LiI, 0.05 M I2, 0.5 M TBP in acetonitrile"
187,"0.6 M DMPImI, 0.1 M LiI, 0.05 M I2, 0.5 M TBP in acetonitrile"
188,"0.6 M DMPImI, 0.1 M LiI, 0.05 M I2, 0.5 M TBP in acetonitrile"
189,"0.6 M propyl methyl imidazolium iodide, 0.03 M I2, 0.1 M guanidine thiocyanate and 0.5 M tributyl phosphate in the solution of 85:15 ratio of acetonitrile and Valeronitrile"
190,"0.6 M propyl methyl imidazolium iodide, 0.03 M I2, 0.1 M guanidine thiocyanate and 0.5 M tributyl phosphate in the solution of 85:15 ratio of acetonitrile and Valeronitrile"
