,Article DOI
559,10.1016/j.jpowsour.2016.06.127
560,10.1016/j.synthmet.2010.06.013
561,10.1016/j.synthmet.2010.06.013
562,10.1016/j.tet.2012.02.077
563,10.1021/am5067145
564,10.1021/am5067145
565,10.1016/j.dyepig.2015.02.001
566,10.1016/j.dyepig.2015.02.001
567,10.1016/j.dyepig.2015.02.001
568,10.1016/j.orgel.2017.01.035
569,10.1016/j.orgel.2017.01.035
570,10.1016/j.orgel.2017.01.035
571,10.1016/j.dyepig.2017.06.068
572,10.1016/j.orgel.2016.12.044
573,10.1016/j.orgel.2016.12.044
574,10.1016/j.jpowsour.2014.05.079
575,10.1016/j.jpowsour.2014.05.079
576,10.1016/j.jpowsour.2014.05.079
577,10.1016/j.jpowsour.2014.05.079
578,10.1016/j.dyepig.2013.12.028
579,10.1016/j.dyepig.2013.12.028
580,10.1016/j.dyepig.2013.12.028
581,10.1021/cm8003276
582,10.1021/acs.joc.6b00192
583,10.1021/acs.joc.6b00192
584,10.1002/asia.201600766
585,10.1002/asia.201600766
586,10.1002/asia.201600766
587,10.1590/s0103-50532011000400023
588,10.1016/j.solener.2017.08.012
589,10.1016/j.solener.2017.08.012
590,10.1016/j.dyepig.2016.06.024
591,10.1016/j.dyepig.2016.06.024
592,10.1016/j.jpowsour.2016.01.055
593,10.1016/j.jpowsour.2016.01.055
594,10.1016/j.jpowsour.2016.01.055
595,10.1016/j.electacta.2016.05.175
596,10.1016/j.electacta.2016.05.175
597,10.1016/j.electacta.2016.05.175
598,10.1016/j.electacta.2016.05.175
599,10.1016/j.electacta.2016.05.175
600,10.1016/j.synthmet.2016.08.011
601,10.1016/j.synthmet.2016.08.011
602,10.1016/j.synthmet.2016.08.011
603,10.1016/j.orgel.2016.12.044
604,10.1016/j.dyepig.2016.06.024
605,10.1016/j.dyepig.2016.05.035
606,10.1016/j.orgel.2015.07.019
607,10.1016/j.dyepig.2017.02.017
608,10.1016/j.solener.2017.08.012
609,10.1016/j.solener.2017.08.012
610,10.1002/cplu.201600492
611,10.1002/cplu.201600492
612,10.1039/c7nj01735a
613,10.1039/c7nj01735a
614,10.1039/c7ta01744h
615,10.1039/c7ta01744h
616,10.1039/c7ta01744h
617,10.1039/c7ta01744h
618,10.1039/c7ta01744h
619,10.1039/c7ta01744h
620,10.1039/c7ta01744h
621,10.1039/c7ta01744h
622,10.1039/c7ta01744h
623,10.1039/c7ta01744h
624,10.1039/c7ta01744h
625,10.1016/j.electacta.2013.12.013
626,10.1016/j.electacta.2013.12.013
627,10.1016/j.electacta.2013.12.013
628,10.1016/j.electacta.2013.12.013
629,10.1016/j.electacta.2013.12.013
630,10.1016/j.jphotochem.2014.09.007
631,10.1016/j.jphotochem.2014.09.007
632,10.1016/j.jphotochem.2014.09.007
633,10.1016/j.synthmet.2010.11.004
634,10.1016/j.orgel.2016.12.044
635,10.1002/ajoc.201402073
636,10.1002/ajoc.201402073
637,10.1002/ajoc.201402073
638,10.1002/ajoc.201402073
639,10.1002/ajoc.201402073
640,10.1002/ejoc.201300373
641,10.1002/ejoc.201300373
642,10.1002/ejoc.201300373
643,10.1002/ejoc.201300373
644,10.1002/ejoc.201300373
645,10.1021/cm8003276
646,10.1039/c0ee00008f
647,10.1039/c0ee00008f
648,10.1039/c0ee00008f
649,10.1039/c0ee00008f
650,10.1021/ol9022936
651,10.1021/ol9022936
652,10.1021/ol9022936
653,10.1021/ol9022936
654,10.1021/ol9022936
655,10.1021/ol9022936
656,10.1016/j.dyepig.2015.07.034
657,10.1016/j.dyepig.2015.07.034
658,10.1016/j.dyepig.2015.07.034
659,10.1016/j.dyepig.2015.07.034
660,10.1143/jjap.51.10ne14
661,10.1143/jjap.51.10ne14
662,10.1143/jjap.51.10ne14
663,10.1016/j.tetlet.2013.05.069
664,10.1016/j.electacta.2013.12.013
665,10.1016/j.synthmet.2010.11.004
666,10.1016/j.tetlet.2013.05.069
667,10.1016/j.tetlet.2013.05.069
668,10.1016/j.tetlet.2013.05.069
669,10.1016/j.tetlet.2013.05.069
670,10.1016/j.synthmet.2015.10.024
671,10.3390/ijms11010329
672,10.1016/j.synthmet.2015.10.024
673,10.1021/cm8003276
674,10.1039/c4qo00285g
675,10.1039/c4qo00285g
676,10.1039/c4qo00285g
677,10.1039/c4qo00285g
678,10.1021/jp808536v
679,10.1021/jp808536v
680,10.1016/j.jpowsour.2009.10.107
681,10.1016/j.jpowsour.2015.01.148
682,10.1016/j.jpowsour.2015.01.148
683,10.1016/j.jpowsour.2015.01.148
684,10.1016/j.dyepig.2014.01.010
685,10.1590/s0103-50532011000400023
686,10.1039/c3nj00456b
687,10.1039/c3nj00456b
688,10.1016/j.dyepig.2014.01.010
689,10.1016/j.dyepig.2014.01.010
690,10.1016/j.dyepig.2014.01.010
691,10.1016/j.dyepig.2014.01.010
692,10.1039/c6ta02275h
693,10.1039/c6ta02275h
694,10.1039/c6ta02275h
695,10.1039/c6ta09777d
696,10.1039/c6ta09777d
697,10.1143/jjap.51.10ne14
698,10.1021/am404948w
699,10.1021/am404948w
700,10.1021/am404948w
701,10.1021/am404948w
702,10.1021/am404948w
703,10.1021/cm8003276
704,10.1021/cm8003276
705,10.1021/cm8003276
706,10.1021/cm8003276
707,10.1021/cm8003276
708,10.1021/cm8003276
709,10.1021/cm8003276
710,10.1021/ja0645640
711,10.1021/ja0645640
712,10.1021/ja0645640
713,10.1021/ja0645640
714,10.1021/ja0645640
715,10.1021/ja0645640
716,10.1021/ja0645640
717,10.1016/j.jphotochem.2016.08.033
718,10.1039/c2cp42993d
719,10.1039/c2jm30254c
720,10.1039/c2jm30254c
721,10.1039/c6ta09777d
722,10.1039/c6ta09777d
723,10.1016/j.dyepig.2016.07.017
724,10.1002/ejoc.201600353
725,10.1002/ejoc.201600353
726,10.1002/ejoc.201600353
727,10.1002/ejoc.201600353
728,10.1002/ejoc.201600353
729,10.1016/j.jphotochem.2016.08.033
730,10.1016/j.jphotochem.2016.08.033
731,10.1016/j.jphotochem.2016.08.033
732,10.1016/j.jphotochem.2016.08.033
733,10.1016/j.jphotochem.2016.08.033
734,10.1016/j.renene.2011.03.003
735,10.1016/j.renene.2011.03.003
736,10.1016/j.dyepig.2013.01.014
737,10.1016/j.dyepig.2012.02.016
738,10.1016/j.dyepig.2012.02.016
739,10.1016/j.dyepig.2013.02.012
740,10.1016/j.dyepig.2013.02.012
741,10.1016/j.dyepig.2013.02.012
742,10.1016/j.dyepig.2013.02.012
743,10.1016/j.dyepig.2013.02.012
744,10.1016/j.dyepig.2011.09.012
745,10.1016/j.dyepig.2011.09.012
746,10.1016/j.dyepig.2011.09.012
747,10.1016/j.dyepig.2011.09.012
748,10.1016/j.dyepig.2011.09.012
749,10.1016/j.dyepig.2011.09.012
750,10.1016/j.jpowsour.2009.10.107
751,10.1039/c7ra04402j
752,10.1039/c7ra04402j
753,10.1039/c7ra04402j
754,10.1039/c7ra04402j
755,10.1016/j.renene.2011.03.003
756,10.1016/j.renene.2011.03.003
757,10.1016/j.renene.2011.03.003
758,10.1016/j.jphotochem.2017.05.033
759,10.1016/j.jphotochem.2017.05.033
760,10.1016/j.solener.2017.05.088
761,10.1016/j.solener.2017.05.088
762,10.1016/j.solener.2017.05.088
763,10.1021/am5067145
764,10.1002/ajoc.201402235
765,10.1002/ajoc.201402235
766,10.1002/ajoc.201402235
767,10.1002/ajoc.201402235
768,10.1039/c4ra08271k
769,10.1039/c4ra08271k
770,10.1016/j.jpowsour.2016.04.043
771,10.1016/j.jpowsour.2016.04.043
772,10.1016/j.jpowsour.2016.04.043
773,10.1016/j.jpowsour.2016.04.043
774,10.1021/am508400a
775,10.1021/am508400a
776,10.1021/am508400a
777,10.1021/jp503455m
778,10.1021/jp503455m
779,10.1021/jp503455m
780,10.1021/jp503455m
781,10.1016/j.dyepig.2012.03.028
782,10.1021/am403210v
783,10.1016/j.dyepig.2013.09.025
784,10.1016/j.dyepig.2013.09.025
785,10.1016/j.dyepig.2013.09.025
786,10.1016/j.dyepig.2013.09.025
787,10.1016/j.dyepig.2013.02.012
788,10.1016/j.solener.2017.02.046
789,10.1016/j.solener.2017.02.046
790,10.1016/j.solener.2017.02.046
791,10.1016/j.solener.2017.02.046
792,10.1016/j.jphotochem.2017.05.033
793,10.1016/j.jphotochem.2017.05.033
794,10.1016/j.jphotochem.2013.12.019
795,10.1021/am5067145
796,10.1039/c6ta02275h
797,10.1002/chem.201402093
798,10.1002/chem.201402093
799,10.1002/chem.201402093
800,10.1002/chem.201402093
801,10.1039/c4ee03934c
802,10.1039/c4ee03934c
803,10.1016/j.orgel.2013.04.046
804,10.1016/j.orgel.2015.07.019
805,10.1016/j.dyepig.2016.08.020
806,10.1016/j.dyepig.2016.08.020
807,10.1016/j.dyepig.2016.08.020
808,10.1016/j.dyepig.2016.08.020
809,10.1016/j.dyepig.2016.05.052
810,10.1016/j.dyepig.2016.05.052
811,10.1016/j.dyepig.2016.05.052
812,10.1021/am403210v
813,10.1002/ajoc.201402235
814,10.1002/ajoc.201402235
815,10.1039/c7ta00793k
816,10.1002/chem.201402093
817,10.1002/chem.201402093
818,10.1021/am501515s
819,10.1039/c5qo00050e
820,10.1039/c5qo00050e
821,10.1002/chem.201101923
822,10.1002/chem.201101923
823,10.1002/chem.201101923
824,10.1002/chem.201101923
